,Gender,Age,CategorizedAge,Geography,Balance,EstimatedSalary,CreditScore,CategorizedCreditScore,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
0,Female,42,Mid-Career Adults,France,0.0,101348.88,619,Fair,1,Yes,2,Yes,Yes
1,Female,41,Mid-Career Adults,Spain,83807.86,112542.58,608,Fair,1,No,1,Yes,No
2,Female,42,Mid-Career Adults,France,159660.8,113931.57,502,Poor,3,Yes,8,No,Yes
3,Female,39,Mid-Career Adults,France,0.0,93826.63,699,Good,2,No,1,No,No
4,Female,43,Mid-Career Adults,Spain,125510.82,79084.1,850,Exceptional,1,Yes,2,Yes,No
5,Male,44,Mid-Career Adults,Spain,113755.78,149756.71,645,Fair,2,Yes,8,No,Yes
6,Male,50,Late Career Adults,France,0.0,10062.8,822,Exceptional,2,Yes,7,Yes,No
7,Female,29,Early Career Adults,Germany,115046.74,119346.88,376,Poor,4,Yes,4,No,Yes
8,Male,44,Mid-Career Adults,France,142051.07,74940.5,501,Poor,2,No,4,Yes,No
9,Male,27,Early Career Adults,France,134603.88,71725.73,684,Good,1,Yes,2,Yes,No
10,Male,31,Early Career Adults,France,102016.72,80181.12,528,Poor,2,No,6,No,No
11,Male,24,Young Adults,Spain,0.0,76390.01,497,Poor,2,Yes,3,No,No
12,Female,34,Early Career Adults,France,0.0,26260.98,476,Poor,2,Yes,10,No,No
13,Female,25,Early Career Adults,France,0.0,190857.79,549,Poor,2,No,5,No,No
14,Female,35,Mid-Career Adults,Spain,0.0,65951.65,635,Fair,2,Yes,7,Yes,No
15,Male,45,Late Career Adults,Germany,143129.41,64327.26,616,Fair,2,No,3,Yes,No
16,Male,58,Near-Retirement Adults,Germany,132602.88,5097.67,653,Fair,1,Yes,1,No,Yes
17,Female,24,Young Adults,Spain,0.0,14406.41,549,Poor,2,Yes,9,Yes,No
18,Male,45,Late Career Adults,Spain,0.0,158684.81,587,Fair,1,No,6,No,No
19,Female,24,Young Adults,France,0.0,54724.03,726,Good,2,Yes,6,Yes,No
20,Male,41,Mid-Career Adults,France,0.0,170886.17,732,Good,2,Yes,8,Yes,No
21,Female,32,Early Career Adults,Spain,0.0,138555.46,636,Fair,2,Yes,8,No,No
22,Female,38,Mid-Career Adults,Spain,0.0,118913.53,510,Poor,1,Yes,4,No,Yes
23,Male,46,Late Career Adults,France,0.0,8487.75,669,Fair,2,No,3,Yes,No
24,Female,38,Mid-Career Adults,France,0.0,187616.16,846,Exceptional,1,Yes,5,Yes,No
25,Male,25,Early Career Adults,France,0.0,124508.29,577,Poor,2,No,3,Yes,No
26,Male,36,Mid-Career Adults,Germany,136815.64,170041.95,756,Very Good,1,Yes,2,Yes,No
27,Male,44,Mid-Career Adults,France,0.0,38433.35,571,Poor,2,No,9,No,No
28,Female,43,Mid-Career Adults,Germany,141349.43,100187.43,574,Poor,1,Yes,3,Yes,No
29,Male,29,Early Career Adults,France,59697.17,53483.21,411,Poor,2,Yes,0,Yes,No
30,Female,39,Mid-Career Adults,Spain,0.0,140469.38,591,Fair,3,Yes,3,No,Yes
31,Male,36,Mid-Career Adults,France,85311.7,156731.91,533,Poor,1,No,7,Yes,No
32,Male,41,Mid-Career Adults,Germany,110112.54,81898.81,553,Poor,2,No,9,No,No
33,Female,42,Mid-Career Adults,Spain,0.0,34410.55,520,Poor,2,Yes,6,Yes,No
34,Female,29,Early Career Adults,Spain,0.0,142033.07,722,Good,2,Yes,9,Yes,No
35,Female,45,Late Career Adults,France,134264.04,27822.99,475,Poor,1,Yes,0,No,Yes
36,Male,31,Early Career Adults,Spain,145260.23,114066.77,490,Poor,1,No,3,Yes,No
37,Male,33,Early Career Adults,Spain,76548.6,98453.45,804,Exceptional,1,No,7,Yes,No
38,Male,36,Mid-Career Adults,France,0.0,40812.9,850,Exceptional,1,Yes,7,Yes,No
39,Male,41,Mid-Career Adults,Germany,70349.48,178074.04,582,Fair,2,No,6,Yes,No
40,Male,40,Mid-Career Adults,Spain,0.0,70154.22,472,Poor,1,Yes,4,No,No
41,Female,51,Late Career Adults,France,122522.32,181297.65,465,Poor,1,No,8,No,Yes
42,Female,61,Near-Retirement Adults,France,117419.35,94153.83,556,Poor,1,Yes,2,Yes,No
43,Female,49,Late Career Adults,France,131394.56,194365.76,834,Exceptional,1,No,2,No,Yes
44,Female,61,Near-Retirement Adults,Spain,155931.11,158338.39,660,Fair,1,Yes,5,Yes,No
45,Female,32,Early Career Adults,Germany,109421.13,126517.46,776,Very Good,2,Yes,4,Yes,No
46,Female,27,Early Career Adults,Germany,112045.67,119708.21,829,Exceptional,1,Yes,9,Yes,Yes
47,Female,39,Mid-Career Adults,Germany,137843.8,117622.8,637,Fair,1,Yes,9,Yes,Yes
48,Male,38,Mid-Career Adults,Germany,103391.38,90878.13,550,Poor,1,No,2,Yes,No
49,Female,37,Mid-Career Adults,Germany,103769.22,194099.12,776,Very Good,2,Yes,2,No,No
50,Male,44,Mid-Career Adults,Germany,116363.37,198059.16,698,Good,2,Yes,10,No,No
51,Male,36,Mid-Career Adults,Germany,146050.97,86424.57,585,Fair,2,No,5,No,No
52,Female,33,Early Career Adults,France,0.0,116978.19,788,Very Good,2,No,5,No,No
53,Male,41,Mid-Career Adults,Germany,125561.97,164040.94,655,Fair,1,No,8,No,Yes
54,Male,42,Mid-Career Adults,Germany,98495.72,40014.76,601,Fair,1,Yes,1,No,Yes
55,Male,43,Mid-Career Adults,France,125211.92,113410.49,619,Fair,1,Yes,1,Yes,No
56,Male,45,Late Career Adults,France,127864.4,87107.57,656,Fair,1,Yes,5,No,No
57,Male,19,Young Adults,Germany,75888.2,45613.75,725,Good,1,No,0,No,No
58,Female,66,Retired Adults,Spain,0.0,1643.11,511,Poor,1,Yes,4,No,Yes
59,Male,51,Late Career Adults,France,40685.92,46775.28,614,Fair,1,Yes,4,Yes,No
60,Male,35,Mid-Career Adults,Germany,136857.0,84509.57,742,Very Good,1,No,5,No,No
61,Female,27,Early Career Adults,Germany,152328.88,126494.82,687,Good,2,No,9,No,No
62,Male,33,Early Career Adults,Spain,56084.69,178798.13,555,Poor,2,No,1,No,No
63,Male,56,Near-Retirement Adults,Spain,78707.16,99398.36,684,Good,1,Yes,8,Yes,No
64,Male,26,Early Career Adults,Germany,109166.37,92840.67,603,Fair,1,Yes,4,Yes,No
65,Female,36,Mid-Career Adults,Germany,169831.46,27758.36,751,Very Good,2,Yes,6,Yes,No
66,Female,34,Early Career Adults,Germany,101633.04,110431.51,581,Fair,1,Yes,1,No,No
67,Male,43,Mid-Career Adults,Germany,123180.01,196673.28,735,Good,2,Yes,10,Yes,No
68,Female,35,Mid-Career Adults,Germany,150725.53,113656.85,661,Fair,2,No,5,Yes,No
69,Female,21,Young Adults,France,98373.26,18203.0,675,Good,1,Yes,8,No,No
70,Male,58,Near-Retirement Adults,Germany,133745.44,28373.86,738,Good,4,Yes,2,No,Yes
71,Male,29,Early Career Adults,France,0.0,33953.87,813,Exceptional,1,Yes,6,No,No
72,Female,37,Mid-Career Adults,Spain,163607.18,44203.55,657,Fair,1,No,0,Yes,No
73,Female,25,Early Career Adults,Germany,157780.84,58426.81,604,Fair,2,Yes,5,Yes,No
74,Male,36,Mid-Career Adults,France,0.0,145562.4,519,Poor,2,No,9,Yes,No
75,Female,21,Young Adults,France,178718.19,22388.0,735,Good,2,Yes,1,No,No
76,Male,55,Near-Retirement Adults,France,0.0,139161.64,664,Fair,2,Yes,8,Yes,No
77,Female,32,Early Career Adults,France,0.0,148210.64,678,Good,1,Yes,9,Yes,No
78,Male,33,Early Career Adults,Spain,77253.22,194239.63,757,Very Good,1,No,5,Yes,No
79,Female,41,Mid-Career Adults,Germany,122189.66,98301.61,416,Poor,2,Yes,10,No,No
80,Female,34,Early Career Adults,France,96645.54,171413.66,665,Fair,2,No,1,No,No
81,Female,32,Early Career Adults,France,0.0,136458.19,777,Very Good,1,Yes,2,No,Yes
82,Female,36,Mid-Career Adults,France,0.0,26019.59,543,Poor,2,No,3,No,No
83,Female,34,Early Career Adults,France,90307.62,159235.29,506,Poor,1,Yes,4,Yes,No
84,Female,46,Late Career Adults,France,0.0,1907.66,493,Poor,2,Yes,4,No,No
85,Female,75,Retired Adults,Spain,0.0,114675.75,652,Fair,2,Yes,10,Yes,No
86,Male,22,Young Adults,Spain,121681.82,128643.35,750,Very Good,1,Yes,3,No,Yes
87,Male,30,Early Career Adults,France,0.0,151869.35,729,Good,2,Yes,9,No,No
88,Female,46,Late Career Adults,France,0.0,93251.42,646,Fair,3,Yes,4,No,Yes
89,Female,28,Early Career Adults,Germany,81623.67,156791.36,635,Fair,2,Yes,3,Yes,No
90,Female,44,Mid-Career Adults,Spain,0.0,174205.22,647,Fair,3,Yes,5,Yes,Yes
91,Male,45,Late Career Adults,France,118626.55,147132.46,808,Exceptional,2,Yes,7,No,No
92,Female,36,Mid-Career Adults,France,0.0,109614.57,524,Poor,2,Yes,10,No,No
93,Male,29,Early Career Adults,France,0.0,172290.61,769,Very Good,2,Yes,8,Yes,No
94,Male,42,Mid-Career Adults,Spain,0.0,85982.47,730,Good,2,No,4,Yes,No
95,Male,35,Mid-Career Adults,Spain,176273.95,121277.78,515,Poor,1,No,10,Yes,No
96,Male,41,Mid-Career Adults,Spain,102827.44,64595.25,773,Very Good,1,No,9,Yes,No
97,Male,29,Early Career Adults,Germany,97086.4,197276.13,814,Exceptional,2,Yes,8,Yes,No
98,Male,22,Young Adults,Spain,0.0,99645.04,710,Good,2,No,8,No,No
99,Male,34,Early Career Adults,France,0.0,6534.18,413,Poor,2,No,9,No,No
100,Female,40,Mid-Career Adults,France,0.0,161848.03,665,Fair,1,Yes,6,Yes,No
101,Female,44,Mid-Career Adults,France,0.0,167162.43,623,Fair,2,No,6,No,No
102,Male,31,Early Career Adults,France,82674.15,41970.72,738,Good,1,Yes,9,No,No
103,Male,36,Mid-Career Adults,Spain,0.0,60536.56,528,Poor,2,Yes,7,No,No
104,Female,65,Retired Adults,Spain,0.0,177655.68,670,Good,1,Yes,1,Yes,Yes
105,Female,46,Late Career Adults,Spain,107073.27,30984.59,622,Fair,2,Yes,4,Yes,Yes
106,Male,32,Early Career Adults,Germany,88938.62,10054.53,582,Fair,1,Yes,1,Yes,No
107,Female,36,Mid-Career Adults,Germany,99806.85,36976.52,785,Very Good,1,No,2,Yes,No
108,Male,33,Early Career Adults,Spain,150092.8,71862.79,605,Fair,1,No,5,No,No
109,Male,35,Mid-Career Adults,Germany,92833.89,99449.86,479,Poor,1,Yes,9,No,Yes
110,Male,30,Early Career Adults,Germany,90536.81,63082.88,685,Good,1,No,3,Yes,No
111,Male,39,Mid-Career Adults,Germany,108055.1,27231.26,538,Poor,2,Yes,7,No,No
112,Male,42,Mid-Career Adults,France,100238.35,86797.41,562,Poor,1,No,2,No,No
113,Male,36,Mid-Career Adults,Spain,106190.55,22994.32,675,Good,1,No,9,Yes,No
114,Male,28,Early Career Adults,Germany,154475.54,101300.94,721,Good,2,No,9,Yes,Yes
